Month,Takedown Notices Processed,Takedowns,Retractions,Counter Notices,Retractions and Counter Notices Processed,Repositories Remaining Offline,Takedowns (excluding Mass Removals),Repositories Remaining Offline (excluding Mass Removals),Mass Removals,Removals by Frequent Noticers,Mass Removals by Frequent Noticers,Notices from Mass Removals,Notices from Frequent Noticers,Notices from MR/FNs
Jan,21,23,1,0,1,22,23,22,,3,,0,1,0
Feb,17,181,23,0,23,158,181,158,,88,,0,3,0
Mar,43,366,0,3,3,363,145,142,221,67,,1,5,0
Apr,55,126,1,0,1,125,126,125,,68,,0,8,0
May,25,49,1,1,2,47,49,47,,7,,0,4,0
Jun,23,28,0,1,1,27,28,27,,9,,0,7,0
Jul,94,602,1,5,6,596,127,121,475,69,,1,10,0
Aug,35,137,0,2,2,135,137,135,,60,,0,7,0
Sep,65,5834,13,1,14,5820,270,256,5564,197,,2,8,0
Oct,40,630,2,2,4,626,200,196,,157,430,0,8,2
Nov,40,113,0,2,2,111,113,111,,43,,0,6,0
Dec,47,241,0,3,3,238,113,110,,15,128,0,12,1
,,,,,,,,,,,,,,
Totals,505,8330,42,20,62,8268,1512,1450,6260,783,558,4,79,3
